age,income,gender,region,loan_approved
40,34403.18219669117,F,North,0
31,,F,North,1
63,49913.466433987516,M,South,0
29,35259.504795235305,F,North,0
34,37937.60426087221,F,North,0
42,32027.199303092897,F,East,0
47,61501.531498649165,F,South,0
39,53262.88316803018,F,East,0
64,81266.62536272324,F,South,1
43,72702.14136213259,F,East,1
34,18487.629004458347,F,West,1
37,65091.09382672442,M,North,1
51,34443.27695712869,F,North,0
58,22920.985580568402,M,South,1
50,33467.058696265274,F,South,0
54,66178.68652195478,M,South,1
24,42218.98901740912,M,East,1
39,45777.10474165025,M,South,0
49,58405.5399830207,F,North,0
31,61328.134719732676,F,South,0
25,34086.63714993624,M,North,0
42,50817.10774470644,F,East,1
33,48435.82051665021,F,North,1
59,44725.8547463664,M,West,1
36,58846.9870817543,F,North,1
58,27815.47807552416,M,West,1
33,28655.660492519582,M,East,0
29,37603.08318989855,F,North,1
56,61763.1293935125,M,East,0
47,47068.741946271286,F,East,0
19,31031.06842698475,F,West,0
49,62853.99763278411,F,East,1
62,42590.08481177103,F,North,1
42,50219.54987633662,M,West,0
42,25903.00311878251,F,East,1
21,52429.84272775726,F,South,1
36,58025.57476173875,F,West,1
21,62458.829147984085,M,North,1
60,65654.44383201752,M,North,1
30,38585.790569730234,F,South,0
56,48718.53023616357,F,West,1
53,38150.54546779434,F,South,0
40,,F,West,0
23,34504.19429641587,F,West,0
41,46532.19935630038,M,South,1
61,25846.348099764535,F,South,1
50,71459.02846958321,M,West,1
29,24119.2141766628,M,East,1
58,55388.74382963195,F,West,0
38,63229.024311045345,M,North,0
28,53075.196315784844,F,North,0
61,68170.45260890292,M,South,1
55,17458.652107362184,M,West,1
46,44974.684411258924,F,East,0
58,24245.426976920055,M,East,0
20,28072.017041872507,F,South,0
45,41433.468719136596,F,South,1
37,20481.076975507123,F,South,0
43,,F,South,1
41,56730.78323161633,F,East,0
64,15776.544904990107,F,North,1
38,,M,East,0
47,67809.06312559248,M,North,1
21,35881.66846200675,F,North,0
53,48076.55454507744,M,North,1
57,69085.79202122173,M,East,1
27,,F,West,1
27,,M,South,1
59,72618.1387335216,F,South,0
41,36149.87455629789,F,West,0
21,59881.663347096626,M,East,0
64,69289.58841652417,F,East,1
44,32673.99454229271,F,West,1
62,51783.146812273575,F,North,1
21,65482.17467435924,F,East,0
49,58099.28648250115,M,North,1
27,16231.082189300214,F,East,0
28,,M,West,1
45,48980.84702257947,F,South,0
63,67648.80844838936,M,South,0
25,27274.77274923616,M,South,1
57,36594.92281456878,F,East,0
39,39796.34558816598,M,West,1
51,52913.09966131132,F,North,0
62,35487.53902641704,F,South,0
52,66023.89535415613,M,North,1
52,68196.31409071104,M,South,1
42,67170.78203573832,M,North,0
51,75176.06673060113,M,East,1
23,57176.07319748625,F,East,0
58,51376.064776330095,M,North,0
54,50639.80215298691,F,East,0
18,,M,North,1
29,66493.83358229487,M,East,1
52,40583.98338353424,F,East,0
23,48060.24770196248,M,North,1
34,36521.908808117616,F,South,1
26,78959.71579004543,M,South,1
19,52979.09769583741,M,West,1
35,47812.891211100316,F,West,1
53,46713.28323232329,F,South,1
45,76437.46655537879,F,North,0
58,30766.40800156581,F,West,0
54,54047.40191721588,F,South,0
43,63180.47893798335,F,East,0
21,50119.49410474733,F,South,0
57,66328.59378662828,M,West,1
53,51184.674539603926,F,East,1
48,62091.23497785236,M,South,1
47,57786.57378422452,M,South,1
51,48090.73325295917,F,North,0
36,37385.239836955654,M,East,1
35,42570.40698789574,M,East,1
47,47944.699926988294,F,East,1
38,64811.3674269083,M,South,1
20,39221.75477260552,F,South,1
23,79070.52471014936,M,West,1
55,53305.86966396021,M,North,1
30,42873.57664448982,F,West,0
62,53579.809837328066,M,North,1
20,56084.63654177797,M,West,1
45,54494.88094538002,F,North,1
39,60367.47561827988,F,West,0
57,21412.44188111174,M,South,0
57,54230.664903599725,M,North,0
29,15685.401110636143,F,East,0
40,41727.888122110075,M,North,1
48,68114.30997543302,F,West,0
35,32723.029008788086,F,South,1
24,52327.73893859395,M,North,1
25,40519.86415543134,F,East,0
